rank,i_val,rmse_v1,rmse_v2,toa_v1,toa_v2,boa_v1,boa_v2,upper_v1,upper_v2,near_v1,near_v2
1,95,0.671668,1.347777,0.185028,0.182953,0.677670,0.653080,0.395314,0.811920,0.738608,1.682796
2,138,0.623839,0.608505,1.050079,0.370117,0.119158,0.072023,0.949832,0.379444,0.121337,0.506540
3,129,0.621770,0.606899,1.047363,0.362427,0.164467,0.133232,0.945536,0.373083,0.124366,0.549367
4,167,0.621527,0.607444,1.045593,0.373779,0.087629,0.024961,0.946679,0.381971,0.124217,0.468661
5,76,0.616938,0.604466,1.038391,0.375275,0.067009,0.008583,0.940471,0.382595,0.128919,0.438653
6,180,0.603391,0.594353,1.018890,0.340179,0.258703,0.242163,0.914228,0.353167,0.147935,0.609886
7,179,0.600296,0.592343,1.013824,0.337036,0.269958,0.253677,0.908853,0.350259,0.151725,0.615070
8,61,0.598748,0.593158,1.009308,0.373993,0.030111,0.077158,0.913700,0.379247,0.145252,0.365353
9,29,0.597031,0.590270,1.008423,0.333710,0.281273,0.265007,0.903126,0.347193,0.155665,0.619955
10,54,0.596659,0.891687,1.017059,0.038391,0.468397,0.807848,1.175151,0.424082,0.371436,0.858155
11,183,0.596067,0.870102,0.996094,0.070465,0.478336,0.782101,1.164438,0.373997,0.369472,0.826334
12,134,0.595997,0.913258,1.047791,0.076630,0.459881,0.830769,1.174727,0.468342,0.374058,0.890240
13,5,0.590339,0.955595,1.048492,0.240356,0.449034,0.867281,1.134210,0.546026,0.382332,0.955815
14,90,0.585969,0.976287,1.015350,0.285126,0.446657,0.880705,1.097391,0.579159,0.388397,0.989777
15,192,0.580035,0.774864,0.882843,0.045471,0.539087,0.637915,1.017620,0.110802,0.366150,0.684551
16,113,0.577029,0.764731,0.865631,0.044006,0.547010,0.619417,0.995446,0.087846,0.366135,0.668815
17,198,0.572436,1.038185,0.792175,0.291687,0.454378,0.898054,0.946255,0.673033,0.418066,1.100052
18,22,0.570803,1.048798,0.742889,0.283020,0.458084,0.897400,0.918064,0.689221,0.425137,1.120153
19,50,0.569512,1.059625,0.692169,0.274261,0.462511,0.895643,0.889567,0.705450,0.432946,1.140887
20,124,0.568161,1.093590,0.537384,0.253265,0.479954,0.883724,0.803384,0.752798,0.461098,1.207461
